Address: 0x0001d2ee, Set: 0x2E, Miss, Tag: 0x0001D
Address: 0x0000dd9d, Set: 0xD9, Miss, Tag: 0x0000D
Address: 0x0001129d, Set: 0x29, Miss, Tag: 0x00011
Address: 0x00097a3c, Set: 0xA3, Miss, Tag: 0x00097
Address: 0x000b1870, Set: 0x87, Miss, Tag: 0x000B1
Address: 0x000a52e1, Set: 0x2E, Miss, Tag: 0x000A5
Address: 0x0000ac6f, Set: 0xC6, Miss, Tag: 0x0000A
Address: 0x0001f8ff, Set: 0x8F, Miss, Tag: 0x0001F
Address: 0x0000e1a9, Set: 0x1A, Miss, Tag: 0x0000E
Address: 0x000100fb, Set: 0x0F, Miss, Tag: 0x00010
Address: 0x000ac30f, Set: 0x30, Miss, Tag: 0x000AC
Address: 0x0001249c, Set: 0x49, Miss, Tag: 0x00012
Address: 0x000f19ce, Set: 0x9C, Miss, Tag: 0x000F1
Address: 0x0008e52b, Set: 0x52, Miss, Tag: 0x0008E
Address: 0x000978be, Set: 0x8B, Miss, Tag: 0x00097
Address: 0x000c89b8, Set: 0x9B, Miss, Tag: 0x000C8
Address: 0x000cf153, Set: 0x15, Miss, Tag: 0x000CF
Address: 0x000bcb2d, Set: 0xB2, Miss, Tag: 0x000BC
Address: 0x000d9bea, Set: 0xBE, Miss, Tag: 0x000D9
Address: 0x00016ec6, Set: 0xEC, Miss, Tag: 0x00016
Address: 0x000e9c27, Set: 0xC2, Hit, Tag: 0x000E9
Address: 0x000904a7, Set: 0x4A, Miss, Tag: 0x00090
Address: 0x00010fbc, Set: 0xFB, Miss, Tag: 0x00010
Address: 0x00090e22, Set: 0xE2, Miss, Tag: 0x00090
Address: 0x00018dd3, Set: 0xDD, Miss, Tag: 0x00018
Address: 0x000a751c, Set: 0x51, Miss, Tag: 0x000A7
Address: 0x0000969f, Set: 0x69, Miss, Tag: 0x00009
Address: 0x000141a3, Set: 0x1A, Miss, Tag: 0x00014
Address: 0x0000d885, Set: 0x88, Miss, Tag: 0x0000D
Address: 0x0000db85, Set: 0xB8, Miss, Tag: 0x0000D
Address: 0x00013dff, Set: 0xDF, Hit, Tag: 0x00013
Address: 0x000f1930, Set: 0x93, Miss, Tag: 0x000F1
Address: 0x000dfa71, Set: 0xA7, Miss, Tag: 0x000DF
Address: 0x0001a12a, Set: 0x12, Miss, Tag: 0x0001A
Address: 0x000af455, Set: 0x45, Miss, Tag: 0x000AF
Address: 0x000e0473, Set: 0x47, Miss, Tag: 0x000E0
Address: 0x000b7dc6, Set: 0xDC, Miss, Tag: 0x000B7
Address: 0x0000af9b, Set: 0xF9, Miss, Tag: 0x0000A
Address: 0x0009d062, Set: 0x06, Miss, Tag: 0x0009D
Address: 0x000bf9d3, Set: 0x9D, Miss, Tag: 0x000BF
Address: 0x000f7d6e, Set: 0xD6, Miss, Tag: 0x000F7
Address: 0x0000a990, Set: 0x99, Miss, Tag: 0x0000A
Address: 0x000088a1, Set: 0x8A, Miss, Tag: 0x00008
Address: 0x000fde7c, Set: 0xE7, Miss, Tag: 0x000FD
Address: 0x0001703f, Set: 0x03, Miss, Tag: 0x00017
Address: 0x000ba537, Set: 0x53, Miss, Tag: 0x000BA
Address: 0x0000e254, Set: 0x25, Miss, Tag: 0x0000E
Address: 0x0000b6df, Set: 0x6D, Miss, Tag: 0x0000B
Address: 0x000a945e, Set: 0x45, Miss, Tag: 0x000A9
Address: 0x00019ed9, Set: 0xED, Miss, Tag: 0x00019
Address: 0x0001416c, Set: 0x16, Miss, Tag: 0x00014
Address: 0x000182c4, Set: 0x2C, Miss, Tag: 0x00018
Address: 0x000badb4, Set: 0xDB, Miss, Tag: 0x000BA
Address: 0x00014dc3, Set: 0xDC, Miss, Tag: 0x00014
Address: 0x000165f2, Set: 0x5F, Miss, Tag: 0x00016
Address: 0x0001d12b, Set: 0x12, Miss, Tag: 0x0001D
Address: 0x0000bd4e, Set: 0xD4, Miss, Tag: 0x0000B
Address: 0x000b4f98, Set: 0xF9, Miss, Tag: 0x000B4
Address: 0x000b8989, Set: 0x98, Miss, Tag: 0x000B8
Address: 0x0009e79e, Set: 0x79, Miss, Tag: 0x0009E
Address: 0x00016217, Set: 0x21, Miss, Tag: 0x00016
Address: 0x0000d85c, Set: 0x85, Miss, Tag: 0x0000D
Address: 0x0001154b, Set: 0x54, Miss, Tag: 0x00011
Address: 0x00087a89, Set: 0xA8, Miss, Tag: 0x00087
Address: 0x000f9853, Set: 0x85, Miss, Tag: 0x000F9
Address: 0x0000f561, Set: 0x56, Miss, Tag: 0x0000F
Address: 0x0009d062, Set: 0x06, Hit, Tag: 0x0009D
Address: 0x00015b2e, Set: 0xB2, Miss, Tag: 0x00015
Address: 0x000b4569, Set: 0x56, Miss, Tag: 0x000B4
Address: 0x00011fee, Set: 0xFE, Miss, Tag: 0x00011
Address: 0x000de4a7, Set: 0x4A, Miss, Tag: 0x000DE
Address: 0x000faf1f, Set: 0xF1, Miss, Tag: 0x000FA
Address: 0x000e5a3f, Set: 0xA3, Miss, Tag: 0x000E5
Address: 0x000e8cc1, Set: 0xCC, Miss, Tag: 0x000E8
Address: 0x00015f96, Set: 0xF9, Miss, Tag: 0x00015
Address: 0x000be873, Set: 0x87, Miss, Tag: 0x000BE
Address: 0x0008b825, Set: 0x82, Miss, Tag: 0x0008B
Address: 0x000ef893, Set: 0x89, Hit, Tag: 0x000EF
Address: 0x0001f222, Set: 0x22, Miss, Tag: 0x0001F
Address: 0x000a7fde, Set: 0xFD, Miss, Tag: 0x000A7
Address: 0x0001b1ab, Set: 0x1A, Miss, Tag: 0x0001B
Address: 0x000bf892, Set: 0x89, Miss, Tag: 0x000BF
Address: 0x00087f24, Set: 0xF2, Miss, Tag: 0x00087
Address: 0x0001de7c, Set: 0xE7, Miss, Tag: 0x0001D
Address: 0x00015a9e, Set: 0xA9, Miss, Tag: 0x00015
Address: 0x000be666, Set: 0x66, Hit, Tag: 0x000BE
Address: 0x000d55c3, Set: 0x5C, Miss, Tag: 0x000D5
Address: 0x000088a1, Set: 0x8A, Hit, Tag: 0x00008
Address: 0x00085eda, Set: 0xED, Miss, Tag: 0x00085
Address: 0x0008d0b5, Set: 0x0B, Miss, Tag: 0x0008D
Address: 0x0001efb3, Set: 0xFB, Miss, Tag: 0x0001E
Address: 0x000d4cba, Set: 0xCB, Miss, Tag: 0x000D4
Address: 0x00016776, Set: 0x77, Miss, Tag: 0x00016
Address: 0x0000adf3, Set: 0xDF, Miss, Tag: 0x0000A
Address: 0x0001d97d, Set: 0x97, Miss, Tag: 0x0001D
Address: 0x0000a2f0, Set: 0x2F, Miss, Tag: 0x0000A
Address: 0x000cd6ba, Set: 0x6B, Miss, Tag: 0x000CD
Address: 0x000cda3a, Set: 0xA3, Miss, Tag: 0x000CD
Address: 0x000933f8, Set: 0x3F, Miss, Tag: 0x00093
Address: 0x0001f054, Set: 0x05, Miss, Tag: 0x0001F
Address: 0x0009c893, Set: 0x89, Miss, Tag: 0x0009C
Address: 0x000f769d, Set: 0x69, Miss, Tag: 0x000F7
Address: 0x0009fbfa, Set: 0xBF, Miss, Tag: 0x0009F
Address: 0x0001efdd, Set: 0xFD, Miss, Tag: 0x0001E
Address: 0x00016def, Set: 0xDE, Miss, Tag: 0x00016
Address: 0x00019c32, Set: 0xC3, Miss, Tag: 0x00019
Address: 0x000a2496, Set: 0x49, Miss, Tag: 0x000A2
Address: 0x00011662, Set: 0x66, Miss, Tag: 0x00011
Address: 0x00008429, Set: 0x42, Miss, Tag: 0x00008
Address: 0x000dd76f, Set: 0x76, Miss, Tag: 0x000DD
Address: 0x0001ad7c, Set: 0xD7, Hit, Tag: 0x0001A
Address: 0x0001d12b, Set: 0x12, Hit, Tag: 0x0001D
Address: 0x00019f56, Set: 0xF5, Miss, Tag: 0x00019
Address: 0x0001083c, Set: 0x83, Miss, Tag: 0x00010
Address: 0x0001b9c4, Set: 0x9C, Miss, Tag: 0x0001B
Address: 0x0000aa8d, Set: 0xA8, Miss, Tag: 0x0000A
Address: 0x000c764c, Set: 0x64, Miss, Tag: 0x000C7
Address: 0x0000e015, Set: 0x01, Miss, Tag: 0x0000E
Address: 0x00013851, Set: 0x85, Miss, Tag: 0x00013
Address: 0x000fa11f, Set: 0x11, Miss, Tag: 0x000FA
Address: 0x000178f8, Set: 0x8F, Miss, Tag: 0x00017
Address: 0x0008cee0, Set: 0xEE, Miss, Tag: 0x0008C
Address: 0x000c8cc6, Set: 0xCC, Miss, Tag: 0x000C8
Address: 0x0001b042, Set: 0x04, Miss, Tag: 0x0001B
Address: 0x0000cbb9, Set: 0xBB, Miss, Tag: 0x0000C
Address: 0x000df355, Set: 0x35, Miss, Tag: 0x000DF
Address: 0x00017c6f, Set: 0xC6, Miss, Tag: 0x00017
Address: 0x0001cd38, Set: 0xD3, Hit, Tag: 0x0001C
Address: 0x0001831b, Set: 0x31, Hit, Tag: 0x00018
Address: 0x000089a8, Set: 0x9A, Miss, Tag: 0x00008
Address: 0x0000d885, Set: 0x88, Hit, Tag: 0x0000D
Address: 0x0009dd76, Set: 0xD7, Miss, Tag: 0x0009D
Address: 0x00018dd3, Set: 0xDD, Hit, Tag: 0x00018
Address: 0x0009b8f4, Set: 0x8F, Miss, Tag: 0x0009B
Address: 0x0001e456, Set: 0x45, Miss, Tag: 0x0001E
Address: 0x00014bee, Set: 0xBE, Miss, Tag: 0x00014
Address: 0x000be1ab, Set: 0x1A, Hit, Tag: 0x000BE
Address: 0x0001e2a4, Set: 0x2A, Miss, Tag: 0x0001E
Address: 0x000edec1, Set: 0xEC, Miss, Tag: 0x000ED
Address: 0x0008b8a3, Set: 0x8A, Miss, Tag: 0x0008B
Address: 0x000199c8, Set: 0x9C, Miss, Tag: 0x00019
Address: 0x00013851, Set: 0x85, Hit, Tag: 0x00013
Address: 0x0000ed05, Set: 0xD0, Miss, Tag: 0x0000E
Address: 0x00011c30, Set: 0xC3, Miss, Tag: 0x00011
Address: 0x000a134d, Set: 0x34, Miss, Tag: 0x000A1
Address: 0x000f37e1, Set: 0x7E, Miss, Tag: 0x000F3
Address: 0x0000c9f7, Set: 0x9F, Miss, Tag: 0x0000C
Address: 0x000088aa, Set: 0x8A, Hit, Tag: 0x00008
Address: 0x0008b4a5, Set: 0x4A, Miss, Tag: 0x0008B
Address: 0x0001ed05, Set: 0xD0, Miss, Tag: 0x0001E
Address: 0x0009b8f4, Set: 0x8F, Hit, Tag: 0x0009B
Address: 0x0000c9f7, Set: 0x9F, Hit, Tag: 0x0000C
Address: 0x0001fd8f, Set: 0xD8, Miss, Tag: 0x0001F
Address: 0x0000e131, Set: 0x13, Hit, Tag: 0x0000E
Address: 0x0001c333, Set: 0x33, Miss, Tag: 0x0001C
Address: 0x00013c12, Set: 0xC1, Miss, Tag: 0x00013
Address: 0x00083265, Set: 0x26, Miss, Tag: 0x00083
Address: 0x00009555, Set: 0x55, Miss, Tag: 0x00009
Address: 0x000110ff, Set: 0x0F, Miss, Tag: 0x00011
Address: 0x00010eb1, Set: 0xEB, Miss, Tag: 0x00010
Address: 0x00092399, Set: 0x39, Miss, Tag: 0x00092
Address: 0x0001133f, Set: 0x33, Miss, Tag: 0x00011
Address: 0x000d62a9, Set: 0x2A, Hit, Tag: 0x000D6
Address: 0x0001a816, Set: 0x81, Miss, Tag: 0x0001A
Address: 0x0001083c, Set: 0x83, Hit, Tag: 0x00010
Address: 0x0000fbac, Set: 0xBA, Miss, Tag: 0x0000F
Address: 0x0001d648, Set: 0x64, Miss, Tag: 0x0001D
Address: 0x0001d97d, Set: 0x97, Hit, Tag: 0x0001D
Address: 0x0000fb24, Set: 0xB2, Miss, Tag: 0x0000F
Address: 0x000d140a, Set: 0x40, Miss, Tag: 0x000D1
Address: 0x0008ffa6, Set: 0xFA, Miss, Tag: 0x0008F
Address: 0x000b4f98, Set: 0xF9, Hit, Tag: 0x000B4
Address: 0x00019d55, Set: 0xD5, Miss, Tag: 0x00019
Address: 0x0001cc59, Set: 0xC5, Miss, Tag: 0x0001C
Address: 0x0001338a, Set: 0x38, Miss, Tag: 0x00013
Address: 0x00015d8b, Set: 0xD8, Miss, Tag: 0x00015
Address: 0x000c3c7e, Set: 0xC7, Miss, Tag: 0x000C3
Address: 0x000af8e9, Set: 0x8E, Miss, Tag: 0x000AF
Address: 0x000ac168, Set: 0x16, Miss, Tag: 0x000AC
Address: 0x00013b3c, Set: 0xB3, Miss, Tag: 0x00013
Address: 0x000a352b, Set: 0x52, Miss, Tag: 0x000A3
Address: 0x00018793, Set: 0x79, Miss, Tag: 0x00018
Address: 0x0009d062, Set: 0x06, Hit, Tag: 0x0009D
Address: 0x000ffb97, Set: 0xB9, Miss, Tag: 0x000FF
Address: 0x00019fbe, Set: 0xFB, Miss, Tag: 0x00019
Address: 0x0000f23b, Set: 0x23, Miss, Tag: 0x0000F
Address: 0x000f92e0, Set: 0x2E, Miss, Tag: 0x000F9
Address: 0x000c7227, Set: 0x22, Hit, Tag: 0x000C7
Address: 0x0001f22b, Set: 0x22, Hit, Tag: 0x0001F
Address: 0x0000fe5f, Set: 0xE5, Miss, Tag: 0x0000F
Address: 0x0008b8a3, Set: 0x8A, Hit, Tag: 0x0008B
Address: 0x000cd1ca, Set: 0x1C, Miss, Tag: 0x000CD
Address: 0x00008abd, Set: 0xAB, Miss, Tag: 0x00008
Address: 0x000fe224, Set: 0x22, Hit, Tag: 0x000FE
Address: 0x000f0605, Set: 0x60, Miss, Tag: 0x000F0
Address: 0x000e2dc6, Set: 0xDC, Miss, Tag: 0x000E2
Address: 0x00013851, Set: 0x85, Hit, Tag: 0x00013
Address: 0x0001238a, Set: 0x38, Miss, Tag: 0x00012
Address: 0x00010b0e, Set: 0xB0, Miss, Tag: 0x00010
Address: 0x00011a98, Set: 0xA9, Miss, Tag: 0x00011
Address: 0x000a0020, Set: 0x02, Hit, Tag: 0x000A0
Address: 0x000122c4, Set: 0x2C, Miss, Tag: 0x00012
Address: 0x0000e164, Set: 0x16, Miss, Tag: 0x0000E
Address: 0x000dc79f, Set: 0x79, Miss, Tag: 0x000DC
Address: 0x0001ed05, Set: 0xD0, Hit, Tag: 0x0001E
Address: 0x000f92e0, Set: 0x2E, Hit, Tag: 0x000F9
Address: 0x0009827a, Set: 0x27, Miss, Tag: 0x00098
Address: 0x000d04ea, Set: 0x4E, Miss, Tag: 0x000D0
Address: 0x000089a8, Set: 0x9A, Hit, Tag: 0x00008
Address: 0x000caa06, Set: 0xA0, Miss, Tag: 0x000CA
Address: 0x000c2340, Set: 0x34, Miss, Tag: 0x000C2
Address: 0x0001a705, Set: 0x70, Miss, Tag: 0x0001A
Address: 0x000bf9d3, Set: 0x9D, Hit, Tag: 0x000BF
Address: 0x000a1e8c, Set: 0xE8, Miss, Tag: 0x000A1
Address: 0x000929fc, Set: 0x9F, Miss, Tag: 0x00092
Address: 0x00094728, Set: 0x72, Miss, Tag: 0x00094
Address: 0x00091102, Set: 0x10, Miss, Tag: 0x00091
Address: 0x0001bd9c, Set: 0xD9, Miss, Tag: 0x0001B
Address: 0x00018fa0, Set: 0xFA, Miss, Tag: 0x00018
Address: 0x000107cf, Set: 0x7C, Miss, Tag: 0x00010
Address: 0x000131f4, Set: 0x1F, Miss, Tag: 0x00013
Address: 0x0008b704, Set: 0x70, Miss, Tag: 0x0008B
Address: 0x000d978f, Set: 0x78, Miss, Tag: 0x000D9
Address: 0x000165b8, Set: 0x5B, Miss, Tag: 0x00016
Address: 0x0001d8fd, Set: 0x8F, Miss, Tag: 0x0001D
Address: 0x000a6d4a, Set: 0xD4, Miss, Tag: 0x000A6
Address: 0x0001083c, Set: 0x83, Hit, Tag: 0x00010
Address: 0x0001c7de, Set: 0x7D, Miss, Tag: 0x0001C
Address: 0x000bbc17, Set: 0xC1, Miss, Tag: 0x000BB
Address: 0x00013d91, Set: 0xD9, Miss, Tag: 0x00013
Address: 0x0000d9a2, Set: 0x9A, Miss, Tag: 0x0000D
Address: 0x000b4b6c, Set: 0xB6, Hit, Tag: 0x000B4
Address: 0x000abb17, Set: 0xB1, Miss, Tag: 0x000AB
Address: 0x000faf1f, Set: 0xF1, Hit, Tag: 0x000FA
Address: 0x000165f2, Set: 0x5F, Hit, Tag: 0x00016
Address: 0x000fda8e, Set: 0xA8, Miss, Tag: 0x000FD
Address: 0x0000da51, Set: 0xA5, Hit, Tag: 0x0000D
Address: 0x000b61a6, Set: 0x1A, Miss, Tag: 0x000B6
Address: 0x00011899, Set: 0x89, Miss, Tag: 0x00011
Address: 0x0001fd8f, Set: 0xD8, Hit, Tag: 0x0001F
Address: 0x000ae120, Set: 0x12, Miss, Tag: 0x000AE
Address: 0x0001e39c, Set: 0x39, Miss, Tag: 0x0001E
Address: 0x0000ea3b, Set: 0xA3, Miss, Tag: 0x0000E
Address: 0x000d08f9, Set: 0x8F, Miss, Tag: 0x000D0
Address: 0x000aa08e, Set: 0x08, Miss, Tag: 0x000AA
Address: 0x000d5efa, Set: 0xEF, Miss, Tag: 0x000D5
Address: 0x0001dac7, Set: 0xAC, Miss, Tag: 0x0001D
Address: 0x0000b990, Set: 0x99, Miss, Tag: 0x0000B
Address: 0x000f75ab, Set: 0x5A, Miss, Tag: 0x000F7
Address: 0x00019906, Set: 0x90, Miss, Tag: 0x00019
Address: 0x000ab73a, Set: 0x73, Miss, Tag: 0x000AB
Address: 0x000aa43f, Set: 0x43, Miss, Tag: 0x000AA
Address: 0x0000b948, Set: 0x94, Miss, Tag: 0x0000B
Address: 0x00012032, Set: 0x03, Miss, Tag: 0x00012
Address: 0x0000dd9d, Set: 0xD9, Hit, Tag: 0x0000D
Address: 0x0001d189, Set: 0x18, Miss, Tag: 0x0001D
Address: 0x000128c9, Set: 0x8C, Miss, Tag: 0x00012
Address: 0x00083265, Set: 0x26, Hit, Tag: 0x00083
Address: 0x000d7ae5, Set: 0xAE, Miss, Tag: 0x000D7
Address: 0x0000fcdc, Set: 0xCD, Miss, Tag: 0x0000F
Address: 0x0000f2a5, Set: 0x2A, Miss, Tag: 0x0000F
Address: 0x00009f41, Set: 0xF4, Miss, Tag: 0x00009
Address: 0x0000ed05, Set: 0xD0, Hit, Tag: 0x0000E
Address: 0x0001238a, Set: 0x38, Hit, Tag: 0x00012
Address: 0x000c764c, Set: 0x64, Hit, Tag: 0x000C7
Address: 0x0000cfa6, Set: 0xFA, Miss, Tag: 0x0000C
Address: 0x0009207c, Set: 0x07, Miss, Tag: 0x00092
Address: 0x00095c0b, Set: 0xC0, Miss, Tag: 0x00095
Address: 0x000be873, Set: 0x87, Hit, Tag: 0x000BE
Address: 0x0000ddf4, Set: 0xDF, Miss, Tag: 0x0000D
Address: 0x00019ed9, Set: 0xED, Hit, Tag: 0x00019
Address: 0x00019fbe, Set: 0xFB, Hit, Tag: 0x00019
Address: 0x00017da1, Set: 0xDA, Miss, Tag: 0x00017
Address: 0x000b93c8, Set: 0x3C, Miss, Tag: 0x000B9
Address: 0x000dc79f, Set: 0x79, Hit, Tag: 0x000DC
Address: 0x00010eb1, Set: 0xEB, Hit, Tag: 0x00010
Address: 0x00085eda, Set: 0xED, Hit, Tag: 0x00085
Address: 0x00013f8b, Set: 0xF8, Miss, Tag: 0x00013
Address: 0x00016776, Set: 0x77, Hit, Tag: 0x00016
Address: 0x00096f58, Set: 0xF5, Miss, Tag: 0x00096
Address: 0x000b93c8, Set: 0x3C, Hit, Tag: 0x000B9
Address: 0x00008a24, Set: 0xA2, Miss, Tag: 0x00008
Address: 0x0001d065, Set: 0x06, Miss, Tag: 0x0001D
Address: 0x0001545e, Set: 0x45, Miss, Tag: 0x00015
Address: 0x00011022, Set: 0x02, Hit, Tag: 0x00011
Address: 0x0000a141, Set: 0x14, Miss, Tag: 0x0000A
Address: 0x000c4538, Set: 0x53, Miss, Tag: 0x000C4
Address: 0x000a8d4e, Set: 0xD4, Miss, Tag: 0x000A8
Address: 0x0001e8a0, Set: 0x8A, Miss, Tag: 0x0001E
Address: 0x000af455, Set: 0x45, Hit, Tag: 0x000AF
Address: 0x000a0ac8, Set: 0xAC, Miss, Tag: 0x000A0
Address: 0x0001f03d, Set: 0x03, Miss, Tag: 0x0001F
Address: 0x000a4c7d, Set: 0xC7, Miss, Tag: 0x000A4
Address: 0x00013cb6, Set: 0xCB, Miss, Tag: 0x00013
Address: 0x00009555, Set: 0x55, Hit, Tag: 0x00009
Address: 0x000e1895, Set: 0x89, Miss, Tag: 0x000E1
Address: 0x0000c84f, Set: 0x84, Miss, Tag: 0x0000C
Address: 0x00011a98, Set: 0xA9, Hit, Tag: 0x00011
Address: 0x000f5858, Set: 0x85, Miss, Tag: 0x000F5
Address: 0x0000c9fc, Set: 0x9F, Hit, Tag: 0x0000C
Address: 0x000b785b, Set: 0x85, Miss, Tag: 0x000B7
Address: 0x000f72be, Set: 0x2B, Miss, Tag: 0x000F7
Address: 0x00010eb1, Set: 0xEB, Hit, Tag: 0x00010
Address: 0x000e4caa, Set: 0xCA, Miss, Tag: 0x000E4
Address: 0x000ec159, Set: 0x15, Miss, Tag: 0x000EC
Address: 0x0000d9a2, Set: 0x9A, Hit, Tag: 0x0000D
Address: 0x0008ccbe, Set: 0xCB, Miss, Tag: 0x0008C
Address: 0x0001de18, Set: 0xE1, Miss, Tag: 0x0001D
Address: 0x000bd8b9, Set: 0x8B, Miss, Tag: 0x000BD
Address: 0x00099fc3, Set: 0xFC, Miss, Tag: 0x00099
Address: 0x0001358f, Set: 0x58, Miss, Tag: 0x00013
Address: 0x0001a6bf, Set: 0x6B, Miss, Tag: 0x0001A
Address: 0x0001d5a1, Set: 0x5A, Miss, Tag: 0x0001D
Address: 0x000e8cc1, Set: 0xCC, Hit, Tag: 0x000E8
Address: 0x0001d676, Set: 0x67, Miss, Tag: 0x0001D
Address: 0x0001133f, Set: 0x33, Hit, Tag: 0x00011
Address: 0x000d9bea, Set: 0xBE, Hit, Tag: 0x000D9
Address: 0x0008b825, Set: 0x82, Hit, Tag: 0x0008B
Address: 0x0000e164, Set: 0x16, Hit, Tag: 0x0000E
Address: 0x0001049a, Set: 0x49, Miss, Tag: 0x00010
Address: 0x00008e7f, Set: 0xE7, Miss, Tag: 0x00008
Address: 0x00009bc0, Set: 0xBC, Miss, Tag: 0x00009
Address: 0x00017c6f, Set: 0xC6, Hit, Tag: 0x00017
Address: 0x000fcb4a, Set: 0xB4, Miss, Tag: 0x000FC
Address: 0x000810d7, Set: 0x0D, Miss, Tag: 0x00081
Address: 0x00018e6c, Set: 0xE6, Miss, Tag: 0x00018
Address: 0x000134c4, Set: 0x4C, Miss, Tag: 0x00013
Address: 0x00017480, Set: 0x48, Miss, Tag: 0x00017
Address: 0x0001f92e, Set: 0x92, Miss, Tag: 0x0001F
Address: 0x000cf153, Set: 0x15, Hit, Tag: 0x000CF
Address: 0x000cbc0e, Set: 0xC0, Miss, Tag: 0x000CB
Address: 0x000b5e74, Set: 0xE7, Miss, Tag: 0x000B5
Address: 0x000adf43, Set: 0xF4, Miss, Tag: 0x000AD
Address: 0x000a52e1, Set: 0x2E, Hit, Tag: 0x000A5
Address: 0x000d3602, Set: 0x60, Miss, Tag: 0x000D3
Address: 0x0001e557, Set: 0x55, Miss, Tag: 0x0001E
Address: 0x0008648f, Set: 0x48, Miss, Tag: 0x00086
Address: 0x00085cdb, Set: 0xCD, Miss, Tag: 0x00085
Address: 0x0001f2ff, Set: 0x2F, Miss, Tag: 0x0001F
Address: 0x0000d8c4, Set: 0x8C, Miss, Tag: 0x0000D
